Public Food Key,IngredientPublic Food Key,Ingredient Name,Ingredient Weight (g),Retention Factor ID
F000247,F003250,"Cream of tartar, dry powder",50,0
F000247,F000248,"Baking soda (bicarbonate), dry powder",25,0
F000247,F003989,"Flour, cornflour, from maize & wheat starch",15,0
F000247,F003998,"Flour, rice",10,0
F009571,F009577,"Wine, red, shiraz",50,0
F009571,F009572,"Wine, red, cabernet sauvignon",30,0
F009571,F009574,"Wine, red, merlot",10,0
F009571,F009575,"Wine, red, pinot noir",10,0
F009581,F009582,"Wine, white, chardonnay",60,0
F009581,F009586,"Wine, white, riesling",5,0
F009581,F009584,"Wine, white, semillon",15,0
F009581,F009583,"Wine, white, sauvignon blanc",20,0
F001068,F001029,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",20,0
F001068,F005634,"Milk, cow, fluid, regular fat (3.5% fat)",205,0
F001064,F005634,"Milk, cow, fluid, regular fat (3.5% fat)",203,2151
F001064,F001036,"Beverage base, drinking chocolate, unfortified",15,0
F003017,F003060,"Coffee, instant, dry powder or granules",1.7,0
F003017,F009527,"Water, tap",190,0
F003018,F003061,"Coffee, instant, dry powder or granules, decaffeinated",1.7,0
F003018,F009527,"Water, tap",190,0
F003036,F003041,"Coffee, espresso, from ground coffee beans",50,0
F003036,F001036,"Beverage base, drinking chocolate, unfortified",1,0
F003036,F005634,"Milk, cow, fluid, regular fat (3.5% fat)",155,2151
F003048,F003041,"Coffee, espresso, from ground coffee beans",50,0
F003048,F005634,"Milk, cow, fluid, regular fat (3.5% fat)",206,2151
F003065,F003041,"Coffee, espresso, from ground coffee beans",20,0
F003065,F009527,"Water, tap",80,0
F003158,F003130,"Cordial base, 25% citrus fruit juice, regular",61,0
F003158,F009527,"Water, tap",200,0
F003160,F003135,"Cordial base, 40% citrus fruit juice, regular",61,0
F003160,F009527,"Water, tap",200,0
F003156,F003128,"Cordial base, 5% blackcurrant juice, regular",43.56,0
F003156,F009527,"Water, tap",167,0
F004726,F005174,"Lemon, peeled, raw",100,270
F004729,F005199,"Lime, peeled, raw",100,270
F001165,F001971,"Butter, plain, no added salt",125,5019
F001165,F002987,"Coconut, grated & desiccated",56,2203
F001165,F006143,"Oats, rolled, uncooked",95,352
F001165,F004007,"Flour, wheat, white, plain",140,301
F001165,F008976,"Sugar, white, granulated or lump",266,0
