Public Food Key,Classification,Food Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total Fat,Total dietary fibre,Calcium (Ca),Sodium (Na),Cobalamin (B12),Vitamin C,Cholecalciferol (D3),Vitamin E,Total saturated fatty acids],
F002258,31302,"Cardamom seed, dried, ground",1236,1012,8.3,10.8,6.7,28,383,18,0,21,0,2.85,34.34,2.2
F002893,31302,"Chilli (chili), dried, ground",1280,1002,10.8,13.4,14.3,34.8,330,2867,0,1,0,38.14,18,2.06
F002963,31302,"Cinnamon, dried, ground",1004,579,10.6,4,1.2,53.1,1002,10,0,4,0,2.32,52.35,0.62
F002970,31302,"Cloves, dried, ground",1389,1118,9.9,6,13,33.9,632,277,0,0,0,8.82,44.15,5.49
F003190,31302,"Coriander seed, dried, ground",1344,1009,8.9,12.4,17.8,41.9,709,35,0,21,0,0.91,6.07,1.03
F003327,31302,"Cumin (cummin) seed, dried, ground",1782,1698,8.1,17.8,22.3,10.5,931,168,0,8,0,3.33,8.14,1.73
F003337,31302,Curry powder,1231,805,8.8,14.3,14,53.2,525,52,0,1,0,25.24,12.22,1.64
F003821,31302,"Fenugreek seed, dried",1080,699,8.8,23,6.4,47.6,176,67,0,3,0,0.02,16.84,1.03
F004210,31302,"Ginger, dried, ground",1397,1284,9.9,9,4.2,14.1,114,27,0,1,0,0,64.86,2.2
F005972,31302,Mustard powder,2289,2249,4.3,29.4,39.5,5,160,3,0,7,0,5.07,5.3,2
F006118,31302,"Nutmeg, dried, ground",2090,1924,6.2,5.8,36.3,20.8,184,16,0,3,0,0,87.9,30.51
F006281,31302,"Oregano, dried",1096,756,9.9,9,4.3,42.5,1597,25,0,2,0,18.26,42.66,1.46
F006316,31302,"Paprika, dry powder",1311,1031,11.2,14.1,12.9,34.9,229,68,0,1,0,29.1,18.45,1.9
F006618,31302,"Pepper, black, ground",1156,953,12.5,10.4,3.3,25.3,443,20,0,0,0,1.04,44.49,1.39
F007715,31302,"Rosemary, dried",1314,973,9.3,4.9,15.2,42.6,1280,50,0,61,0,7.48,57.93,7.05
F007726,31302,"Sage, dried",1320,998,8,10.6,12.8,40.3,1652,11,0,32,0,7.48,68.95,7.03
F009160,31302,"Thyme, dried, ground",1182,886,7.8,9.1,7.4,37,1890,55,0,50,0,7.48,62.19,3.7
F009335,31302,"Turmeric, dried, ground",1219,1037,12.8,9.7,3.2,22.7,168,27,0,1,0,4.43,60.4,1.88
F007870,31301,"Salt substitute, potassium chloride",0,0,0.2,0,0,0,34,33,0,0,0,0,0,0
F007878,31301,"Salt, table, iodised",0,0,0.2,0,0,0,34,38168,0,0,0,0,0,0
F007879,31301,"Salt, table, non-iodised",0,0,0.2,0,0,0,34,38178,0,0,0,0,0,0
F008933,31303,"Stock, dry powder or cube",900,900,3.6,11.3,8.9,0,71,18400,0,0,0,0,51.5,4.38
F009072,31303,"Taco seasoning mix, chilli-based",1010,931,6.8,5.9,4.1,9.9,240,9350,0,0,0,3.7,27.9,1.1
F000247,31501,"Baking powder, dry powder",365,361,4,0.8,0.3,0.4,6,6868,0,0,0,0.14,,0.05
F000248,31501,"Baking soda (bicarbonate), dry powder",0,0,0.2,0,0,0,0,27360,0,0,0,0,0,0
F003250,31501,"Cream of tartar, dry powder",2,0,1.7,0,0,0.2,8,52,0,0,0,0,0,0
F004196,31502,"Gelatine, all types",1449,1449,11,84.4,0.4,0,250,330,0,0,0,0,50,0.19
F004220,12103,"Gluten, from wheat (vital wheat gluten)",1507,1502,8.2,75.2,0,0.6,142,29,0,0,0,0,21.97,0
F008831,24102,"Starch, potato",1332,1285,19.1,0,0.5,5.9,14,9,0,0,0,0.25,44.8,0.18
F009351,31401,"Vanilla, artificial or imitation",231,231,85.6,0,0,0,3,3,0,0,0,0,0,0
F009350,31401,Vanilla bean extract,1203,1203,52.6,0.1,0.1,0,11,9,0,0,0,0,41.67,0.02
F009606,31101,"Yeast, dry powder",1126,910,6,36.4,5,26.9,18,170,0,0,0,0,18.79,0.75
F000996,29101,"Beer, high alcohol (5% v/v & above)",174,174,91.9,0.5,0,0,4,4,0,0,0,0,0,0
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",152,152,93,0.4,0,0,4,5,0,0,0,0,0,0
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,126,94.6,0.3,0,0,3,4,0,0,0,0,0,0
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,128,94.1,0.3,0,0,4,3,0,0,0,0,0,0
F001004,29102,"Beer, light (alcohol 1- less than 3% v/v)",100,100,94.5,0.2,0,0,3,3,0,0,0,0,0,0
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,892,66.9,0,0,0,1,3,0,0,0,0,0,0
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,302,86.4,0,0,0,1,2,0,0,0,0,0,0
F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",209,209,89.2,0,0,0,3,3,0,2,0,0,0,0
F009572,29201,"Wine, red, cabernet sauvignon",332,332,86.1,0.3,0,0,7,4,0,0,0,0,0,0
F009574,29201,"Wine, red, merlot",330,330,86.3,0.3,0,0,7,5,0,0,0,0,0,0
F009575,29201,"Wine, red, pinot noir",321,321,86.9,0.2,0,0,7,3,0,0,0,0,0,0
F009577,29201,"Wine, red, shiraz",342,342,85.5,0.2,0,0,6,7,0,0,0,0,0,0
F009571,29201,"Wine, red",335,335,85.9,0.2,0,0,7,5,0,0,0,0,,0
F009573,29201,"Wine, red, cooked",121,121,93.2,0.3,0,0,8,5,0,0,0,0,0,0
F009578,29201,"Wine, red, sparkling",338,338,85.5,0.2,0,0,6,7,0,0,0,0,0,0
F009579,29201,"Wine, rose",289,289,88.2,0.2,0,0,8,5,0,0,0,0,0,0
F009583,29202,"Wine, white, sauvignon blanc",296,296,88.3,0.2,0,0,8,2,0,0,0,0,0,0
F009584,29202,"Wine, white, semillon",270,270,89.2,0.2,0,0,9,6,0,6,0,0,0,0
F009582,29202,"Wine, white, chardonnay",311,311,87.7,0.3,0,0,7,4,0,0,0,0,0,0
F009586,29202,"Wine, white, riesling",292,292,88.5,0.2,0,0,10,7,0,0,0,0,0,0
F009581,29202,"Wine, white",301,301,88.1,0.3,0,0,8,4,0,1,0,0,,0
F009580,29202,"Wine, white, cooked",107,107,94.6,0.2,0,0,9,5,0,2,0,0,0,0
F009590,29202,"Wine, white, sparkling",306,306,88.3,0.2,0,0,7,2,0,0,0,0,0,0
F009592,29202,"Wine, white, sweet dessert style",497,497,71.2,0.4,0,0,15,13,0,0,0,0,0,0
F009566,29203,"Wine, fortified, port",600,600,70.9,0.2,0,0,5,15,0,0,0,0,0,0
F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",435,435,83,0.1,0,0,5,19,0,0,0,0,0,0
F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,577,73,0.2,0,0,4,18,0,0,0,0,0,0
