Public Food Key,Name,Description
F002258,"Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking"
F002893,"Chilli (chili), dried, ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice."
F002963,"Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice."
F002970,"Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice."
F003190,"Coriander seed, dried, ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice."
F003327,"Cumin (cummin) seed, dried, ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice."
F003337,Curry powder,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric."
F003821,"Fenugreek seed, dried",Dried fenugreek seeds used as a spice.
F004210,"Ginger, dried, ground","Dried and ground rhizome of Zingiber officinale, used as a spice."
F005972,Mustard powder,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods."
F006118,"Nutmeg, dried, ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice."
F006281,"Oregano, dried","Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb."
F006316,"Paprika, dry powder",Dried and ground fruit of red capsicums (sweet red peppers).
F006618,"Pepper, black, ground","Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice."
F007715,"Rosemary, dried",Dried woody herb with fragrant needle-like green leaves on small stalks.
F007726,"Sage, dried",Dry leaves of Salvia officinalis used as a herb.
F009160,"Thyme, dried, ground","Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb."
F009335,"Turmeric, dried, ground","Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice."
F007870,"Salt substitute, potassium chloride","Product sold as a replacement for regular table salt, containing predominantly potassium chloride."
F007878,"Salt, table, iodised","Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents."
F007879,"Salt, table, non-iodised",Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium.
F008933,"Stock, dry powder or cube",Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours.
F009072,"Taco seasoning mix, chilli-based","Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid."
F000247,"Baking powder, dry powder","Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda, and 25% starch."
F000248,"Baking soda (bicarbonate), dry powder",Fine white powder used to chemically leaven baked goods such as cakes.
F003250,"Cream of tartar, dry powder","Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures."
F004196,"Gelatine, all types","Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts."
F004220,"Gluten, from wheat (vital wheat gluten)",Protein rich extract of wheat flour.
F008831,"Starch, potato",Fine powder composed of polysaccharides derived from the potato tuber.
F009351,"Vanilla, artificial or imitation","Solution containing the substance vanillin, used as a flavouring agent."
F009350,Vanilla bean extract,"Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent."
F009606,"Yeast, dry powder","A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries."
F000996,"Beer, high alcohol (5% v/v & above)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using warm temperature fermentation. Greater than or equal to 5% v/v alcohol."
F000994,"Beer, full strength (alcohol 4-4.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Alcohol content between 4-4.9% v/v alcohol."
F000995,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), resulting in lower final carbohydrate levels than regular beer.  Alcohol content between 4 - 4.9% v/v alcohol."
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as mid strength. Alcohol content between 3-3.9% v/v alcohol."
F001004,"Beer, light (alcohol 1- less than 3% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. Alcohol content between 1-<3% v/v alcohol."
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products."
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products, that has been heated until a large proportion of alcohol has evaporated."
